Value: 1, BST Depth: 0, AVL Depth: 6, Splay Depth: 71
Value: 2, BST Depth: 1, AVL Depth: 5, Splay Depth: 72
Value: 3, BST Depth: 2, AVL Depth: 6, Splay Depth: 0
Value: 4, BST Depth: 3, AVL Depth: 4, Splay Depth: 1
Value: 5, BST Depth: 4, AVL Depth: 6, Splay Depth: 1
Value: 6, BST Depth: 5, AVL Depth: 5, Splay Depth: 18
Value: 7, BST Depth: 6, AVL Depth: 6, Splay Depth: 1
Value: 8, BST Depth: 7, AVL Depth: 3, Splay Depth: 18
Value: 9, BST Depth: 8, AVL Depth: 6, Splay Depth: 1
Value: 10, BST Depth: 9, AVL Depth: 5, Splay Depth: 8
Value: 11, BST Depth: 10, AVL Depth: 6, Splay Depth: 1
Value: 12, BST Depth: 11, AVL Depth: 4, Splay Depth: 8
Value: 13, BST Depth: 12, AVL Depth: 6, Splay Depth: 1
Value: 14, BST Depth: 13, AVL Depth: 5, Splay Depth: 8
Value: 15, BST Depth: 14, AVL Depth: 6, Splay Depth: 1
Value: 16, BST Depth: 15, AVL Depth: 2, Splay Depth: 3
Value: 17, BST Depth: 16, AVL Depth: 6, Splay Depth: 1
Value: 18, BST Depth: 17, AVL Depth: 5, Splay Depth: 3
Value: 19, BST Depth: 18, AVL Depth: 6, Splay Depth: 1
Value: 20, BST Depth: 19, AVL Depth: 4, Splay Depth: 3
Value: 21, BST Depth: 20, AVL Depth: 6, Splay Depth: 1
Value: 22, BST Depth: 21, AVL Depth: 5, Splay Depth: 3
Value: 23, BST Depth: 22, AVL Depth: 6, Splay Depth: 1
Value: 24, BST Depth: 23, AVL Depth: 3, Splay Depth: 3
Value: 25, BST Depth: 24, AVL Depth: 6, Splay Depth: 1
Value: 26, BST Depth: 25, AVL Depth: 5, Splay Depth: 3
Value: 27, BST Depth: 26, AVL Depth: 6, Splay Depth: 1
Value: 28, BST Depth: 27, AVL Depth: 4, Splay Depth: 1
Value: 29, BST Depth: 28, AVL Depth: 6, Splay Depth: 1
Value: 30, BST Depth: 29, AVL Depth: 5, Splay Depth: 1
Value: 31, BST Depth: 30, AVL Depth: 6, Splay Depth: 1
Value: 32, BST Depth: 31, AVL Depth: 1, Splay Depth: 1
Value: 33, BST Depth: 32, AVL Depth: 6, Splay Depth: 1
Value: 34, BST Depth: 33, AVL Depth: 5, Splay Depth: 1
Value: 35, BST Depth: 34, AVL Depth: 6, Splay Depth: 1
Value: 36, BST Depth: 35, AVL Depth: 4, Splay Depth: 1
Value: 37, BST Depth: 36, AVL Depth: 6, Splay Depth: 1
Value: 38, BST Depth: 37, AVL Depth: 5, Splay Depth: 1
Value: 39, BST Depth: 38, AVL Depth: 6, Splay Depth: 1
Value: 40, BST Depth: 39, AVL Depth: 3, Splay Depth: 1
Value: 41, BST Depth: 40, AVL Depth: 6, Splay Depth: 1
Value: 42, BST Depth: 41, AVL Depth: 5, Splay Depth: 1
Value: 43, BST Depth: 42, AVL Depth: 6, Splay Depth: 1
Value: 44, BST Depth: 43, AVL Depth: 4, Splay Depth: 1
Value: 45, BST Depth: 44, AVL Depth: 6, Splay Depth: 1
Value: 46, BST Depth: 45, AVL Depth: 5, Splay Depth: 1
Value: 47, BST Depth: 46, AVL Depth: 6, Splay Depth: 1
Value: 48, BST Depth: 47, AVL Depth: 2, Splay Depth: 2
Value: 49, BST Depth: 48, AVL Depth: 6, Splay Depth: 1
Value: 50, BST Depth: 49, AVL Depth: 5, Splay Depth: 1
Value: 51, BST Depth: 50, AVL Depth: 6, Splay Depth: 1
Value: 52, BST Depth: 51, AVL Depth: 4, Splay Depth: 1
Value: 53, BST Depth: 52, AVL Depth: 6, Splay Depth: 1
Value: 54, BST Depth: 53, AVL Depth: 5, Splay Depth: 1
Value: 55, BST Depth: 54, AVL Depth: 6, Splay Depth: 1
Value: 56, BST Depth: 55, AVL Depth: 3, Splay Depth: 1
Value: 57, BST Depth: 56, AVL Depth: 6, Splay Depth: 1
Value: 58, BST Depth: 57, AVL Depth: 5, Splay Depth: 1
Value: 59, BST Depth: 58, AVL Depth: 6, Splay Depth: 1
Value: 60, BST Depth: 59, AVL Depth: 4, Splay Depth: 1
Value: 61, BST Depth: 60, AVL Depth: 6, Splay Depth: 1
Value: 62, BST Depth: 61, AVL Depth: 5, Splay Depth: 1
Value: 63, BST Depth: 62, AVL Depth: 6, Splay Depth: 1
Value: 64, BST Depth: 63, AVL Depth: 0, Splay Depth: 1
Value: 65, BST Depth: 64, AVL Depth: 5, Splay Depth: 1
Value: 66, BST Depth: 65, AVL Depth: 4, Splay Depth: 1
Value: 67, BST Depth: 66, AVL Depth: 5, Splay Depth: 1
Value: 68, BST Depth: 67, AVL Depth: 3, Splay Depth: 1
Value: 69, BST Depth: 68, AVL Depth: 5, Splay Depth: 1
Value: 70, BST Depth: 69, AVL Depth: 4, Splay Depth: 1
Value: 71, BST Depth: 70, AVL Depth: 5, Splay Depth: 1
Value: 72, BST Depth: 71, AVL Depth: 2, Splay Depth: 1
Value: 73, BST Depth: 72, AVL Depth: 5, Splay Depth: 1
Value: 74, BST Depth: 73, AVL Depth: 4, Splay Depth: 1
Value: 75, BST Depth: 74, AVL Depth: 5, Splay Depth: 1
Value: 76, BST Depth: 75, AVL Depth: 3, Splay Depth: 1
Value: 77, BST Depth: 76, AVL Depth: 5, Splay Depth: 1
Value: 78, BST Depth: 77, AVL Depth: 4, Splay Depth: 1
Value: 79, BST Depth: 78, AVL Depth: 5, Splay Depth: 1
Value: 80, BST Depth: 79, AVL Depth: 1, Splay Depth: 1
Value: 81, BST Depth: 80, AVL Depth: 5, Splay Depth: 1
Value: 82, BST Depth: 81, AVL Depth: 4, Splay Depth: 1
Value: 83, BST Depth: 82, AVL Depth: 5, Splay Depth: 1
Value: 84, BST Depth: 83, AVL Depth: 3, Splay Depth: 1
Value: 85, BST Depth: 84, AVL Depth: 5, Splay Depth: 1
Value: 86, BST Depth: 85, AVL Depth: 4, Splay Depth: 2
Value: 87, BST Depth: 86, AVL Depth: 5, Splay Depth: 1
Value: 88, BST Depth: 87, AVL Depth: 2, Splay Depth: 3
Value: 89, BST Depth: 88, AVL Depth: 6, Splay Depth: 1
Value: 90, BST Depth: 89, AVL Depth: 5, Splay Depth: 4
Value: 91, BST Depth: 90, AVL Depth: 6, Splay Depth: 1
Value: 92, BST Depth: 91, AVL Depth: 4, Splay Depth: 1
Value: 93, BST Depth: 92, AVL Depth: 6, Splay Depth: 2
Value: 94, BST Depth: 93, AVL Depth: 5, Splay Depth: 3
Value: 95, BST Depth: 94, AVL Depth: 6, Splay Depth: 4
Value: 96, BST Depth: 95, AVL Depth: 3, Splay Depth: 9
Value: 97, BST Depth: 96, AVL Depth: 5, Splay Depth: 10
Value: 98, BST Depth: 97, AVL Depth: 4, Splay Depth: 11
Value: 99, BST Depth: 98, AVL Depth: 5, Splay Depth: 12
Value: 100, BST Depth: 99, AVL Depth: 6, Splay Depth: 44
